strategy,scenario,regime,size,run,seed,target_disorder,actual_disorder,operation_count,duration_seconds,valid,timed_out,returncode,bench_strategy,bench_complexity,error
simple,random,random,16,1,43,,0.5666666666666667,102,0.002169892999518197,True,False,0,simple,n^2,
simple,random,random,16,2,44,,0.49166666666666664,111,0.002107617001456674,True,False,0,simple,n^2,
simple,random,random,16,3,45,,0.6166666666666667,84,0.002020575997448759,True,False,0,simple,n^2,
simple,random,random,16,4,46,,0.525,92,0.0019522880029398948,True,False,0,simple,n^2,
simple,random,random,16,5,47,,0.5583333333333333,74,0.002000909000344109,True,False,0,simple,n^2,
simple,random,random,16,6,48,,0.525,84,0.0019448719976935536,True,False,0,simple,n^2,
simple,random,random,16,7,49,,0.5916666666666667,93,0.001986380997550441,True,False,0,simple,n^2,
simple,random,random,32,1,10043,,0.5040322580645161,298,0.0025516239984426647,True,False,0,simple,n^2,
simple,random,random,32,2,10044,,0.5483870967741935,277,0.0024573789996793494,True,False,0,simple,n^2,
simple,random,random,32,3,10045,,0.530241935483871,355,0.002539601999160368,True,False,0,simple,n^2,
simple,random,random,32,4,10046,,0.45161290322580644,336,0.0025326750001113396,True,False,0,simple,n^2,
simple,random,random,32,5,10047,,0.40725806451612906,277,0.0024261399994429667,True,False,0,simple,n^2,
simple,random,random,32,6,10048,,0.5564516129032258,377,0.0025865949974104296,True,False,0,simple,n^2,
simple,random,random,32,7,10049,,0.4939516129032258,336,0.0025629570009186864,True,False,0,simple,n^2,
simple,random,random,64,1,20043,,0.4513888888888889,1195,0.004410625999298645,True,False,0,simple,n^2,
simple,random,random,64,2,20044,,0.5520833333333334,1035,0.004305353999370709,True,False,0,simple,n^2,
simple,random,random,64,3,20045,,0.49206349206349204,1026,0.004334752000431763,True,False,0,simple,n^2,
simple,random,random,64,4,20046,,0.5233134920634921,1257,0.0047820740001043305,True,False,0,simple,n^2,
simple,random,random,64,5,20047,,0.5297619047619048,1201,0.0046347819989023264,True,False,0,simple,n^2,
simple,random,random,64,6,20048,,0.43253968253968256,1080,0.004520333000982646,True,False,0,simple,n^2,
simple,random,random,64,7,20049,,0.4618055555555556,1049,0.004354823999165092,True,False,0,simple,n^2,
simple,random,random,128,1,30043,,0.4934793307086614,4546,0.011906174000614556,True,False,0,simple,n^2,
simple,random,random,128,2,30044,,0.5174704724409449,4270,0.011499812000693055,True,False,0,simple,n^2,
simple,random,random,128,3,30045,,0.5056594488188977,4450,0.011849752998386975,True,False,0,simple,n^2,
simple,random,random,128,4,30046,,0.4892962598425197,4073,0.010818558002938516,True,False,0,simple,n^2,
simple,random,random,128,5,30047,,0.5574557086614174,4348,0.011366049002390355,True,False,0,simple,n^2,
simple,random,random,128,6,30048,,0.5381397637795275,4366,0.011508308998600114,True,False,0,simple,n^2,
simple,random,random,128,7,30049,,0.48068405511811024,4779,0.012345203998847865,True,False,0,simple,n^2,
simple,random,random,256,1,40043,,0.48737745098039215,17404,0.040681741000298643,True,False,0,simple,n^2,
simple,random,random,256,2,40044,,0.490625,15431,0.035140110998327145,True,False,0,simple,n^2,
simple,random,random,256,3,40045,,0.5034007352941177,16153,0.037350910002714954,True,False,0,simple,n^2,
simple,random,random,256,4,40046,,0.48112745098039217,16891,0.03847730599954957,True,False,0,simple,n^2,
simple,random,random,256,5,40047,,0.5399509803921568,15999,0.040254800998809515,True,False,0,simple,n^2,
simple,random,random,256,6,40048,,0.5200674019607843,16519,0.040947990000859136,True,False,0,simple,n^2,
simple,random,random,256,7,40049,,0.48514093137254904,17190,0.03969271700043464,True,False,0,simple,n^2,
simple,reverse,high,16,1,1000043,1.0,1.0,152,0.0026192360019194894,True,False,0,simple,n^2,
simple,reverse,high,16,2,1000044,1.0,1.0,152,0.002472828000463778,True,False,0,simple,n^2,
simple,reverse,high,16,3,1000045,1.0,1.0,152,0.002421748999040574,True,False,0,simple,n^2,
simple,reverse,high,16,4,1000046,1.0,1.0,152,0.002346286000829423,True,False,0,simple,n^2,
simple,reverse,high,16,5,1000047,1.0,1.0,152,0.0023427870000887197,True,False,0,simple,n^2,
simple,reverse,high,16,6,1000048,1.0,1.0,152,0.0022691320009471383,True,False,0,simple,n^2,
simple,reverse,high,16,7,1000049,1.0,1.0,152,0.0023914819976198487,True,False,0,simple,n^2,
simple,reverse,high,32,1,1010043,1.0,1.0,560,0.003126685998722678,True,False,0,simple,n^2,
simple,reverse,high,32,2,1010044,1.0,1.0,560,0.003158826999424491,True,False,0,simple,n^2,
simple,reverse,high,32,3,1010045,1.0,1.0,560,0.003149255000607809,True,False,0,simple,n^2,
simple,reverse,high,32,4,1010046,1.0,1.0,560,0.0031982430009520613,True,False,0,simple,n^2,
simple,reverse,high,32,5,1010047,1.0,1.0,560,0.0032085370003187563,True,False,0,simple,n^2,
simple,reverse,high,32,6,1010048,1.0,1.0,560,0.0032107010010804515,True,False,0,simple,n^2,
simple,reverse,high,32,7,1010049,1.0,1.0,560,0.0031477920019824523,True,False,0,simple,n^2,
simple,reverse,high,64,1,1020043,1.0,1.0,2144,0.006441690999054117,True,False,0,simple,n^2,
